Comment,Description,Designator,Footprint,LibRef,Manufacturer,Manufacturer Part Number,Quantity,Supplier 1,Supplier Part Number 1
"28R","RES SMD 28 OHM 1% 1/10W 0603","R46","MC_S6/SM/R_0603_IPC","ERJ-3EKF28R0V","Panasonic Electronic Components","ERJ-3EKF28R0V","1","Digi-Key","P28.0HCT-ND"
"0.0R","RES SMD 0.0OHM JUMPER 1/10W 0402","R50, R51, R52, R53","MC_S6/SM/R_0402_IPC","ERJ-2GE0R00X","Panasonic Electronic Components","ERJ-2GE0R00X","4","Digi-Key","P0.0JCT-ND"
"49.9R","RES SMD 49.9 OHM 0.1% 1/8W 0805","R80","MC_S6/SM/R_0805_IPC","ERA-6AEB49R9V","Panasonic Electronic Components","ERA-6AEB49R9V","1","Digi-Key","P49.9DACT-ND"
"187R","RES SMD 187 OHM 1% 1/10W 0603","R100, R102","MC_S6/SM/R_0603_IPC","ERJ-3EKF1870V","Panasonic Electronic Components","ERJ-3EKF1870V","2","Digi-Key","P187HCT-ND"
"XC6SLX150T-3FGG900C","Spartan-6 LXT 1.2V FPGA, 540 User I/Os, 900-Ball Chip-Scale BGA (1.0mm Pitch), Speed Grade 3, Commercial Grade, Pb-Free","U1","MC_S6/BGA/FGG900","XC6SLX150T-3FGG900C","Xilinx Inc.","XC6SLX150T-3FGG900C","1","Digi-Key","XC6SLX150T-3FGG900C-ND"
"XCF32PVOG48C","IC PROM SRL/PAR 1.8V 32M 48TSOP","U2","MC_S6/SM/VOG48","XCF32PVOG48C","Xilinx Inc.","XCF32PVOG48C","1","Digi-Key","122-1458-ND"
"XCF08PVOG48C","IC PROM SRL/PAR 1.8V 08M 48TSOP","U3","MC_S6/SM/VOG48","XCF08PVOG48C","Xilinx Inc.","XCF08PVOG48C","1","Digi-Key","122-1454-ND"
"74LVC161PW,118","IC SYNC 4BIT BIN COUNTER 16TSSOP","U4","MC_S6/SM/TSSOP16","74LVC161PW","NXP USA Inc.","74LVC161PW,118","1","Digi-Key","568-7667-1-ND"
"DS1233AZ-10+","IC POR 2.88V 10% SOT223","U5","MC_S6/SM/SOT223_1243","DS1233AZ-10+","Maxim Integrated","DS1233AZ-10+T&R","1","Digi-Key","DS1233AZ-10+CT-ND"
"SN74LVC1G07-EP","IC BUFF/DVR NON-INVERT Open Drain SC70-5","U6, U100","MC_S6/SM/SOT_SC70_DCK5","SN74LVC1G07-EP","Texas Instruments","SN74LVC1G07MDCKREP","2","Digi-Key","296-22343-1-ND"
"SN74LVC1T45DCKR","IC BUS TRANSCVR TRI-ST SC70-6","U7, U8, U9, U10","MC_S6/SM/SOT_SC70_DCK6","SN74LVC1T45-EP-ALCT_1","Texas Instruments","SN74LVC1T45DCKR","4","Digi-Key","296-16844-1-ND"
"DS2401Z","IC Digital Serial Number","U11","MC_S6/SM/SOT223_1243","DS2401_sot223","Maxim Integrated","DS2401Z+T&R","1","Digi-Key","DS2401Z+T&RCT-ND"
"MIC69502WR","IC REG LDO ADJ 5A SPAK-7","U12, U13, U14, U20, U21","MC_S6/SM/SPAK7","MIC69502WR","Microchip Technology","MIC69502WR","5","Digi-Key","576-1613-ND"
"TLV2543CDB","IC SERIAL OUT A/D 11-CH 20-SSOP","U15","MC_S6/SM/ADC_DB20","TLV2543CDB","Texas Instruments","TLV2543CDBR","1","Digi-Key","296-10643-1-ND"
